split,sentence,label,logreg_prob_negative,logreg_prob_neutral,logreg_prob_positive,svm_prob_negative,svm_prob_neutral,svm_prob_positive,xgb_prob_negative,xgb_prob_neutral,xgb_prob_positive,logreg_pred,svm_pred,xgb_pred,logreg_confidence,logreg_entropy,svm_confidence,svm_entropy,xgb_confidence,xgb_entropy,logreg_top_features,svm_top_features,xgb_top_features_global
train,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral,0.049761401934222335,0.8700420092750389,0.08019658879073861,0.13547434282443993,0.7121509058824631,0.15237475129309697,0.006536634173244238,0.9593530297279358,0.034110311418771744,neutral,neutral,neutral,0.8700420092750389,0.47278969555546374,0.7121509058824631,0.7992399126473951,0.9593530297279358,0.18792084019215366,is:0.6912 | level:0.2274 | and:0.2217 | the:0.1486 | check:0.0684,is:0.3550 | level:0.1705 | and:0.1044 | the:0.0874 | check:0.0445,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,neutral,0.14052866314878398,0.5299487242431751,0.329522612608041,0.23103300495283424,0.45111397417937,0.3178530208677957,0.023624680936336517,0.8809592127799988,0.09541614353656769,neutral,neutral,neutral,0.5299487242431751,0.9780762015122375,0.45111397417937,1.0619233523791642,0.8809592127799988,0.4243225710659092,board:0.1024 | the:0.0697 | directors:0.0537 | board of:0.0506 | dividend of:0.0382,board:0.0445 | the:0.0387 | board of:0.0307 | dividend of:0.0299 | directors:0.0294,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .",neutral,0.07754349577456009,0.8338038022698708,0.0886527019555691,0.1758934714380101,0.6420116469949935,0.18209488156699632,0.00861751101911068,0.9610577821731567,0.03032468818128109,neutral,neutral,neutral,0.8338038022698708,0.5646300783081633,0.6420116469949935,0.9003368776469166,0.9610577821731567,0.185150060607415,share capital:0.1754 | the share:0.1492 | capital:0.1484 | shares:0.1432 | of the:0.1404,the share:0.1196 | share capital:0.1127 | shares:0.0789 | capital:0.0652 | the:0.0606,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive,0.30062126523386223,0.26454562920090685,0.4348331055652309,0.27995058779781323,0.2726006117113996,0.4474488004907873,0.02217664010822773,0.15026767551898956,0.8275557160377502,positive,positive,positive,0.4348331055652309,1.0752211905470668,0.4474488004907873,1.070564129751837,0.8275557160377502,0.5259112042930303,positive:0.5103 | growth:0.4170 | return:0.2749 | to:0.2105 | sees:0.1074,positive:0.4063 | growth:0.3208 | return:0.2242 | to:0.1366 | sees:0.1189,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,"The company operates a U.S. division in Lisle , Ill. .",neutral,0.04603159923257696,0.851764438331691,0.10220396243573213,0.13966500664406753,0.7149558325090124,0.14537916084691999,0.007647345308214426,0.9689514636993408,0.023401224985718727,neutral,neutral,neutral,0.851764438331691,0.5114717496121167,0.7149558325090124,0.7951747473932094,0.9689514636993408,0.15570083595271716,operates:0.2216 | the:0.1939 | company operates:0.0777 | division:0.0756 | company:0.0441,operates:0.1478 | the:0.1168 | company operates:0.0628 | division:0.0571 | company:0.0069,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral,0.017213600103682388,0.9085283536713863,0.07425804622493135,0.08116008063415261,0.7695036010692521,0.14933631829659533,0.00869898870587349,0.9619413018226624,0.029359683394432068,neutral,neutral,neutral,0.9085283536713863,0.3501634316648492,0.7695036010692521,0.6894083802741309,0.9619413018226624,0.18218273674337393,and:0.2542 | including:0.1952 | services:0.1468 | offers:0.1290 | the:0.1006,including:0.1492 | and:0.1197 | offers:0.0893 | the:0.0592 | services:0.0516,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,"The Filter Tips cover the volume range from 0.1-1200 -Ál including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -Ál volume capacities .",neutral,0.0522287795644465,0.8433732961161455,0.104397924319408,0.13339179605783602,0.7213631123679534,0.14524509157421064,0.01454655360430479,0.9281692504882812,0.05728417634963989,neutral,neutral,neutral,0.8433732961161455,0.5337424975333335,0.7213631123679534,0.7845454728592685,0.9281692504882812,0.29454191566568255,range:0.1773 | the:0.1542 | and:0.1447 | including:0.1262 | 120:0.0707,range:0.1148 | the:0.0861 | including:0.0813 | and:0.0695 | the volume:0.0641,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",neutral,0.07944382950759923,0.804531354119169,0.11602481637323181,0.17663586337909573,0.6584558771627256,0.1649082594581786,0.016481701284646988,0.933936357498169,0.049581900238990784,neutral,neutral,neutral,0.804531354119169,0.6261013985560695,0.6584558771627256,0.8785933376417994,0.933936357498169,0.28044787691402373,and:0.1638 | finland:0.1289 | all:0.1288 | production:0.0965 | were:0.0925,all:0.0876 | and:0.0827 | finland:0.0790 | were:0.0644 | production:0.0595,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive,0.06855018642130407,0.1282339853049652,0.8032158282737307,0.18559342812092272,0.17414544890768374,0.6402611229713936,0.0402831993997097,0.3226049840450287,0.6371118426322937,positive,positive,positive,0.8032158282737307,0.6231172277423045,0.6402611229713936,0.9024376089410856,0.6371118426322937,0.7815704665355927,won:0.2887 | to:0.2480 | an:0.2447 | finnish:0.1539 | said on:0.1538,won:0.2356 | to:0.1678 | an:0.1297 | finnish:0.1073 | order to:0.1002,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
train,"Previously , the company anticipated its operating profit to improve over the same period .",positive,0.07925416920394565,0.13889179861975462,0.7818540321762999,0.16180176970420268,0.27510459814633303,0.5630936321494643,0.08342594653367996,0.5211092233657837,0.39546483755111694,positive,positive,neutral,0.7818540321762999,0.6675019048880281,0.5630936321494643,0.9731440544635896,0.5211092233657837,0.9137398531877272,to improve:0.2292 | improve:0.2292 | to:0.2044 | operating profit:0.1826 | period:0.1789,to improve:0.1938 | improve:0.1938 | to:0.1326 | operating profit:0.0897 | the same:0.0842,to profit:0.0374 | rose to:0.0275 | down from:0.0230 | dropped to:0.0221 | from:0.0183
